ST	dnaA	rpoB	gyrB	gltX	adk	gmk	clonal_complex
211	26	26	15	4	15	3	
212	10	3	1	4	2	1	
213	1	28	5	18	1	3	
214	26	1	4	1	1	3	
215	1	5	3	7	1	3	
216	26	5	3	1	1	3	
217	1	5	4	1	1	3	
218	1	5	3	1	15	3	
219	1	5	4	4	1	3	
220	1	5	3	4	15	3	
221	26	26	4	4	15	3	
222	26	21	3	1	1	3	
223	26	5	3	4	1	1	
224	1	26	3	4	15	3	
225	25	1	1	4	2	3	
226	1	1	1	4	2	1	
227	1	3	11	4	8	3	
228	26	1	3	4	1	5	
229	10	3	3	4	2	3	
230	10	1	4	4	2	5	
231	2	3	6	4	15	5	
232	10	1	1	22	1	1	
233	1	1	1	18	1	3	
234	1	1	11	19	8	5	
235	10	26	11	22	1	3	
236	10	26	3	22	8	3	
237	10	1	3	4	8	3	
238	1	1	1	1	1	21	
239	34	26	3	22	8	3	
240	10	26	11	22	1	22	
241	1	1	3	4	17	3	
242	1	26	11	4	2	3	
243	35	1	4	4	1	1	
244	26	26	15	26	15	3	
245	36	1	1	1	1	3	
246	26	1	4	25	1	5	
247	5	4	1	26	1	4	
248	1	1	4	4	1	5	
249	37	1	1	22	1	1	
250	26	1	4	1	2	14	
251	25	1	4	22	2	5	
252	2	1	4	4	1	5	
253	25	1	4	4	2	1	
254	25	29	1	4	2	5	
255	1	26	3	18	2	5	
256	1	3	1	18	1	5	
257	10	26	3	4	8	3	
258	25	30	17	4	2	1	
259	10	1	2	1	1	15	
260	38	31	4	4	2	5	
261	38	31	1	4	2	3	
262	38	1	4	4	2	5	
263	2	3	18	4	15	5	
264	10	31	4	4	2	5	
265	1	1	11	4	8	3	
