ST	dnaA	gltX	gpsA	gyrB	pta2	tdk	tkt	clonal_complex
186	1	3	20	3	2	3	6	
187	1	20	3	3	2	15	6	
188	26	2	1	4	5	1	3	
189	25	3	3	5	2	2	3	
190	24	3	3	3	5	3	6	
191	5	3	4	3	2	3	4	
192	4	3	4	1	5	3	4	
193	1	3	1	3	1	3	4	
194	5	3	3	13	2	3	10	
195	1	1	3	5	2	3	3	
196	1	3	3	5	2	3	3	
197	1	3	3	5	32	2	3	
198	1	1	3	34	2	3	3	
199	4	1	3	1	2	3	3	
200	5	3	2	3	4	3	4	
201	11	20	6	13	21	6	10	
202	7	3	4	13	5	13	10	
203	2	3	3	3	33	3	3	
204	3	3	3	5	2	2	2	
205	1	2	1	2	34	3	2	
206	1	3	3	8	2	3	6	
207	1	3	1	4	5	3	3	
208	1	3	3	4	5	3	3	
209	1	3	3	3	2	16	6	
210	27	1	2	3	5	3	4	
211	5	1	2	3	5	3	4	
212	5	3	2	3	5	3	3	
213	5	3	2	3	5	1	4	
214	5	3	2	3	2	3	3	
215	1	3	3	35	2	3	3	
216	5	2	3	3	5	3	4	
217	1	3	3	36	5	1	3	
218	1	3	22	3	2	3	6	
219	19	3	3	3	2	3	3	
220	1	3	3	1	2	3	31	
221	1	3	2	3	2	3	3	
222	28	3	3	5	35	2	3	
223	28	3	3	5	2	2	3	
224	1	3	1	37	2	3	38	
225	1	3	1	3	2	3	38	
226	1	3	23	3	2	3	6	
227	17	3	3	1	2	2	39	
228	5	2	2	38	5	3	1	
229	1	3	3	39	5	3	4	
230	1	3	3	3	2	25	3	
231	1	3	3	3	2	3	40	
232	1	3	3	3	2	3	41	
233	5	3	2	40	2	3	4	
234	1	2	4	7	1	3	2	
235	1	1	3	5	2	15	1	
236	5	3	3	3	15	3	4	
237	5	1	4	13	5	3	10	
238	5	3	3	3	15	3	10	
239	1	2	3	3	5	3	4	
240	1	3	24	3	2	3	1	
241	1	3	3	1	5	3	31	
242	1	3	1	5	2	2	3	
243	17	3	3	1	2	3	3	
244	5	3	5	3	5	3	4	
245	1	3	3	3	2	3	2	
246	1	3	3	5	5	3	2	
247	1	1	3	5	2	2	3	
248	1	1	3	2	2	3	3	
249	30	3	3	3	2	3	6	
250	29	3	3	3	2	3	6	
251	1	3	3	3	2	26	6	
