ST	atpA	dnaE	dnaK	fusA	leuA	odhA	rpoB	clonal_complex
817	47	34	157	73	47	43	40	
818	37	25	53	39	83	21	17	
819	18	10	30	19	20	3	16	
820	6	7	21	12	35	96	10	
821	41	35	79	49	105	48	39	
822	3	1	158	19	20	3	16	
823	2	2	159	4	3	3	2	
824	19	2	4	2	3	3	2	
825	68	25	53	39	36	35	17	
826	69	7	10	91	9	13	10	
827	2	4	9	29	3	28	2	
828	3	1	160	19	20	3	16	
829	6	7	10	18	16	7	10	
830	4	2	161	19	96	17	9	
831	2	4	4	25	3	3	5	
832	3	2	123	38	3	2	4	
833	21	7	10	12	35	12	11	
834	4	11	60	7	3	3	27	
835	2	10	3	1	7	97	14	
836	22	10	3	1	3	3	2	
837	22	3	94	47	3	3	3	
